time,value,sigma,name,global,n,condition
36,3.535,0.324253643111342,oz,pds,1,standard_nP
38,3.57,0.327464075205677,oz,pds,1,standard_nP
40,3.635,0.333426306238411,oz,pds,1,standard_nP
50,3.55,0.325629542580324,oz,pds,1,standard_nP
60,3.66,0.335719472020366,oz,pds,1,standard_nP
32,3.95,0.362320195095923,oz,pds,1,pds_nP
34,4.13,0.378830988733014,oz,pds,1,pds_nP
36,4.405,0.404055812350132,oz,pds,1,pds_nP
38,4.765,0.437077399638141,oz,pds,1,pds_nP
40,4.94,0.453129560127907,oz,pds,1,pds_nP
50,5.01,0.459550424324222,oz,pds,1,pds_nP
60,5.39,0.494406544250683,oz,pds,1,pds_nP
1,0.195,0.017886707564507,oz,pds,1,pds_nP
2,0.49,0.0449460551700759,oz,pds,1,pds_nP
4,1.165,0.106861528099688,oz,pds,1,pds_nP
6,1.81,0.166025204550116,oz,pds,1,pds_nP
8,2.2,0.201798590555576,oz,pds,1,pds_nP
10,2.47,0.226564780918009,oz,pds,1,pds_nP
20,3.23,0.296277020582152,oz,pds,1,pds_nP
30,3.53,0.323795009955021,oz,pds,1,pds_nP
10,0.105,0.00411794708365706,oz,con_pfl,3,pfl_0.52
10,0.235,0.00582314674371496,oz,con_pfl,3,pfl_1.11
10,0.46,0.00968926504209695,oz,con_pfl,3,pfl_2.22
10,0.92,0.0183668141519398,oz,con_pfl,3,pfl_4.76
10,1.6,0.0315363030294807,oz,con_pfl,3,pfl_9.76
10,2.06,0.0404997701060763,oz,con_pfl,3,pfl_14.80
10,2.51,0.0492842638995068,oz,con_pfl,3,pfl_19.88
10,3.3,0.0647244433442018,oz,con_pfl,3,pfl_25.37
10,3.855,0.0755792167395563,oz,con_pfl,3,pfl_29.34
10,4.89,0.0958304715981502,oz,con_pfl,3,pfl_38.61
10,4.555,0.089274832342986,oz,con_pfl,3,pfl_45.55
10,0.095,0.00748293902762898,opf,con_pfl,3,pfl_0.52
10,0.18,0.00766675655128604,opf,con_pfl,3,pfl_1.11
10,0.38,0.00849248319093848,opf,con_pfl,3,pfl_2.22
10,0.835,0.0117466187100501,opf,con_pfl,3,pfl_4.76
10,1.955,0.0225888457459277,opf,con_pfl,3,pfl_9.76
10,3.43,0.0381645122022697,opf,con_pfl,3,pfl_14.80
10,4.96,0.0546427455598431,opf,con_pfl,3,pfl_19.88
10,6.14,0.06742595387688,opf,con_pfl,3,pfl_25.37
10,6.89,0.0755678872539332,opf,con_pfl,3,pfl_29.34
10,9.52,0.104173737690554,opf,con_pfl,3,pfl_38.61
10,12.31,0.134566583255302,opf,con_pfl,3,pfl_45.55
0,0.25,0.0136782803854316,opf,con_pfl,1,pfl_0.52
0,0.55,0.016518853484269,opf,con_pfl,1,pfl_1.11
0,1.1,0.0244380324468309,opf,con_pfl,1,pfl_2.22
0,2.4,0.047153043780826,opf,con_pfl,1,pfl_4.76
0,4.9,0.0935203090907919,opf,con_pfl,1,pfl_9.76
0,7.4,0.140485755943915,opf,con_pfl,1,pfl_14.80
