name	time	value	sigma	experiment	changeCa	compound	dose
cellular	120	0.492312400348136	0.380941147535053	exp4	no	Cpz	50
cellular	160	1.03377174841574	0.500244849318378	exp4	no	Cpz	50
buffer	35	62.2162938851719	4.54261135810943	exp4	no	Cpz	50
buffer	40	58.6253245235491	4.53161776174936	exp4	no	Cpz	50
buffer	50	56.4563755146443	4.51163120287402	exp4	no	Cpz	50
buffer	60	58.39449917121	4.49384158541962	exp4	no	Cpz	50
buffer	80	52.5240998063872	4.46270138471062	exp4	no	Cpz	50
buffer	100	61.3677597529585	4.43527042229545	exp4	no	Cpz	50
buffer	120	57.7253247399487	4.41015006448096	exp4	no	Cpz	50
buffer	160	60.3775879021404	4.3643639487595	exp4	no	Cpz	50
